"","location","freq","long","lat"
"431","kentucky",1,-84.2700179,37.8393332
"432","Kenya",1,37.906193,-0.023559
"433","kevin",1,NA,NA
"434","KEY WEST FLORIDA",2,-81.7799871,24.5550593
"435","Killingly",1,-71.8334145,41.8122401
"436","king of the beach",1,-118.4175131,33.8958228
"437","Kingsport, TN",1,-82.5618186,36.548434
"438","Knoxville, Tn",1,-83.9207392,35.9606384
"439","Knoxville, TN",1,-83.9207392,35.9606384
"440","La Ciudad de los Palacios",1,-99.133208,19.4326077
"441","La Habra, CA",1,-117.9461734,33.9319578
"442","LA IL MA PA CA HI OR KW EU FL ...?",1,NA,NA
"443","La Mancha.",1,-97.740851,30.32249
"444","LA VERDAD es nuestra fortaleza",2,NA,NA
"445","LaFayette, GA",1,-85.2818998,34.7048022
"446","Lagos, Nigeria",2,3.3792057,6.5243793
"447","Lake Arrowhead, CA",1,-117.1892078,34.2483396
"448","Lancashire, UK",1,-2.7044052,53.7632254
"449","Laynes",1,-96.3285246,30.6231914
"450","le Monde",3,2.3467254,48.8306104
"451","Leeds, UK",1,-1.5490774,53.8007554
"452","Leesburg, VA",2,-77.5636015,39.1156615
"453","Left Coast",1,43.1632296,36.3749097
"454","Leipzig, Germany",15,12.3730747,51.3396955
"455","Lewes DE",4,-75.1393498,38.7745565
"456","Lewisville, TX",3,-96.994174,33.046233
"457","Lima Ohio",1,-84.1052256,40.742551
"458","Linlithgow",1,-3.6025847,55.9716266
"459","Litchfield, IL",1,-89.6542579,39.1753256
"460","Little bit of everywhere",1,NA,NA
"461","Little Elm, TX",1,-96.9375051,33.1626193
"462","Littleton, CO",1,-105.0166498,39.613321
"463","Liverpool",2,-2.9915726,53.4083714
"464","Logan, UT",1,-111.8338359,41.7369803
"465","London",14,-0.1277583,51.5073509
"466","London Town",1,-0.1277583,51.5073509
"467","LONDON UK",1,-0.1277583,51.5073509
"468","London, England",4,-0.1277583,51.5073509
"469","London, UK",1,-0.1277583,51.5073509
"470","London...& my soul in Asturias",1,-0.1277583,51.5073509
"471","London/ Edgware",1,-0.262034,51.615786
"472","London/Shakespeare Country",2,-0.097194,51.508076
"473","Long Beach, CA",1,-118.1937395,33.7700504
"474","Long Island    NY",1,-73.134961,40.789142
"475","Long Lake NY",1,-74.4204332,43.9726899
"476","looking for a clearance rack",1,NA,NA
"477","looking for new planet",1,NA,NA
"478","Los Angeles",8,-118.2436849,34.0522342
"479","Los Angeles CA",1,-118.2436849,34.0522342
"480","Los Angeles, CA",18,-118.2436849,34.0522342
"481","LosAngeles, CA",1,-118.2436849,34.0522342
"482","Louisiana",2,-91.9623327,30.9842977
"483","Louisiana ➡ Houston TX",1,NA,NA
"484","Louisiana, USA",2,-91.9623327,30.9842977
"485","Lua",1,NA,NA
"486","Lynchburg, TN",5,-86.3740205,35.2830242
"487","Lynn, MA",4,-70.9494938,42.466763
"488","Lyon , France",2,4.835659,45.764043
"489","MA US",1,-71.3824374,42.4072107
"490","Macomb County, Mich.",1,-82.820974,42.7168759
"491","Madison, WI",2,-89.4012302,43.0730517
"492","Manchester",3,-2.2426305,53.4807593
"493","Manchester & St Andrews",2,-2.2426305,53.4807593
"494","Manhattan  NY",1,-73.9712488,40.7830603
"495","Manhattan, NY",4,-73.9712488,40.7830603
"496","Maracaibo, Venezuela",1,-71.7147951,10.6544509
"497","Maracaibo, Zulia",1,-71.7147951,10.6544509
"498","Marco.",1,-81.7075355,25.9397412
"499","Maryland",1,-76.6412712,39.0457549
"500","Maryland, USA",2,-76.6412712,39.0457549
"501","Maryville, Tennessee",2,-83.9704593,35.7564719
"502","Massachusetts",2,-71.3824374,42.4072107
"503","Mayfair W1",1,-0.147806,51.5116269
"504","McLean, VA",1,-77.1772604,38.9338676
"505","MD",2,-76.6412712,39.0457549
"506","Melbourne, Australia",3,144.963056,-37.813611
"507","Melbourne, Australia ",1,144.963056,-37.813611
"508","Melbourne, Florida",2,-80.6081089,28.0836269
"509","Melbourne, Victoria",1,144.963056,-37.813611
"510","Memphis and All Points  ",2,-89.7827608,35.092186
"511","Memphis, TN",1,-90.0489801,35.1495343
"512","Mérida - Venezuela",1,-71.1804988,8.5698244
"513","Mérida, Venezuela",1,-71.1804988,8.5698244
"514","México",6,-102.552784,23.634501
"515","Mexico City",1,-99.133208,19.4326077
"516","Mexico City-DK-UK-HK-NY-Paris",1,NA,NA
"517","Mexico D.F.",2,-99.133208,19.4326077
"518","Mexico DF",1,-99.133208,19.4326077
"519","México DF",1,-99.133208,19.4326077
"520","México, D.F.",1,-99.133208,19.4326077
"521","Miami, Boston (& from NJ)",1,-71.1636017,42.2753722
"522","Miami, FL",2,-80.1917902,25.7616798
"523","Miami, FL, New York",2,-80.2494221,25.7333883
"524","Miami, Florida",2,-80.1917902,25.7616798
"525","Michigan",1,-85.6023643,44.3148443
"526","Michigan, USA",2,-85.6023643,44.3148443
"527","Mickey's Backyard, FL",1,-81.563154,28.411098
"528","Middle Tennessee",1,-86.3669155,35.8486229
"529","Middletown, Maryland",1,-77.5447102,39.4437123
"530","Midwest",4,-106.2800242,43.4113604
"531","Milano, Lombardia",1,9.1859243,45.4654219
"532","Mile Hi",1,-104.990251,39.7392358
"533","Milford, CT.",3,-73.064036,41.2306979
"534","Milwaukee WI ",1,-87.9064736,43.0389025
"535","Milwaukee, WI",1,-87.9064736,43.0389025
"536","Milwaukee, Wisconsin",2,-87.9064736,43.0389025
"537","Minas Gerais, Brasil",1,-44.5550308,-18.512178
"538","Minneapolis",2,-93.2650108,44.977753
"539","Minneapolis, MN",2,-93.2650108,44.977753
"540","Minnesota, USA",1,-94.6858998,46.729553
"541","Mississippi, USA",1,-89.3985283,32.3546679
"542","Missouri",1,-91.8318334,37.9642529
"543","Mitten State, USA",1,-85.6023643,44.3148443
"544","Mobile ❤️",1,NA,NA
"545","Monde des bisounours ",1,NA,NA
"546","Monterrey",1,-100.3161126,25.6866142
"547","Monterrey, Mexico",1,-100.3161126,25.6866142
"548","Montreal",2,-73.567256,45.5016889
"549","Montreal, Quebec, Can",2,-73.567256,45.5016889
"550","Moorhead",1,-96.7678039,46.8737648
"551","Moss Beach Ca",1,-122.5133117,37.5274401
"552","Mount Pleasant, WI",1,-87.8844309,42.7369942
"553","Mountain View, CA",1,-122.0838511,37.3860517
"554","Mountlake Terrace, WA",1,-122.3087405,47.7881528
"555","Mr. Worldwide",1,-117.321054,33.707698
"556","Mt. Cory, Ohio",2,-83.8224376,40.9367195
"557","München",3,11.5819806,48.1351253
"558","Murcia/Jaén",1,-3.7919771,37.7812977
"559","My house",1,21.2570307,45.7659345
"560","my radical ideas infecting you",3,NA,NA
"561","mystic falls",1,-83.860493,33.5967091
"562","N 29°55' 0'' / W 90°4' 0'' lol",1,NA,NA
"563","Nampa, ID",1,-116.5634624,43.5407172
"564","Naperville, IL, USA",2,-88.1535352,41.7508391
"565","Nashville, NC",1,-77.9655406,35.974598
"566","Nashville, TN",1,-86.7816016,36.1626638
"567","Neartown - Montrose, Houston",1,-95.3991907,29.7427249
"568","Nebraska, USA",1,-99.9018131,41.4925374
"569","Nederland",1,-105.5108312,39.9613759
